facil_ty_k;facil_ty;aktiv;begrebsdefinition
1022;"Bålplads";1;"Afgrænset plads til bål eller grill til offentlig brug.  Ikke alle bålsteder har grill-muligheden."
1031;"Legeplads";1;"En legeplads er et afgrænset sted udendørs, som er tilrettelagt for at børn kan lege der."
1041;"Naturlegeplads";1;"Legeplads ude i naturen typisk bygget med naturens egne matrialer. Træstammer og sten m.v."
1072;"Blå Flag facilitet";1;"Faciliteter til Blå Flag badestrande, f.eks. infostandere, redningsposter mm."
1082;"Spejderhytte";1;"Bygning, hvor en eller flere spejdergrupper holder til."
1091;"Friluftsbad/Svømmebad";1;"Område med et eller flere badebassinner, der kan være overdækket eller under åben himmel. Dækker også havnebad."
1102;"Slæbested";1;"Anlæg til ophaling eller isætning af mindre både, evt. med spil."
1142;"Virtuelt oplevelsespunkt";1;"Virtuelle oplevelsespunkter/Hotspots, som kan tilgås fx via apps eller lignende."
1162;"Cykelparkering";1;"Opstillet cykelstativ eller anden fast opstilling, der gør det muligt at parkere sin cykel."
1182;"Turistinformation";1;"Kontor/lokaler, der har til formål at informere turister om lokalområdet."
1211;"Vandlegeplads";1;"Legeplads med særlige redskaber og faciliteter til leg med vand."
1222;"Vandpost";1;"Offentligt tilgængeligt drikkevand. Kan være lukket om vinteren."
1232;"Trækfærge";1;"En trækfærge er en pram som er forbundet med en wire. Trækfærgen forbinder bredderne på en å eller et vandløb så man kan med egen trækkraft komme over på den anden side."
1242;"Livreddertårn";1;"Bemandet redningspost (rød og hvidstribet tårn) af specieluddannede kystlivreddere og udstyret med blandt andet hjertestartere, rescue boards og førstehjælpsudstyr."
2022;"Udsigtspunkt";1;"Punkt med en god udsigt. Ofte på toppen af en høj eller skrænt. Kan også være fra en bygning."
2031;"Fiskesø";1;"Put&take sø. Sted hvor man kan købe dagskort til at fiske efter udsatte fisk."
2041;"Rekreativt naturområde";1;"Naturområde hvor borgere kan opholde sig og rekreere. Fordybelsessted."
2051;"Park";1;"Grønt byområde anlagt med en blanding af buske, træer, blomster og græs."
2062;"Naturcenter";1;"Bygningsfacilitet som er udgangspunkt for offentlig naturformidling og aktivteter i et naturområde. Oftest med ansat personale."
2072;"Naturbase";1;"Plads i naturområde med mulighed for ophold, lån af grej, bålplads mm."
2082;"Naturskole";1;"Bygningsfacilitet med primært formål at facilitere naturaktiviteter og undervisning for skoler og institutioner o.lign."
2092;"Udstilling";1;"Offentlig tilgængelig formidling eller introduktion til et områdes natur- eller kulturforhold. Ofte placeret i mindre bygning eller vejrly."
2102;"Naturrum";1;"Bygning og støttepunkt for naturformidling efter Friluftsrådets koncept og definition."
2111;"Naturpark";1;"Naturpark af regional betydning, jf. mærkningsordning ved Friluftsrådet."
2121;"Nationalpark";1;"Nationalpark anerkendt af staten."
2132;"Kælkebakke";1;"Område med mulighed for at kælke, når der er snedække."
2141;"Terapihave";1;"Specielt indrettede haveanlæg med terapeutisk og stressforebyggende formål."
2151;"Spiselig vegetation";1;"Areal med offentligt tilgængelige spiselige planter, frugt, nødder, grønsager mm."
2161;"Oplevelsespunkt";1;"Plads i naturområde eller friluftsanlæg med mulighed for ophold, naturoplevelser, evt. lån af grej, bålplads, information mm. Herunder oplevelsespunkt i havne f.eks. kaldet Oplevelseshavn."
3031;"Teltplads";1;"Sted til at slå telt op for overnatning."
3041;"Campingplads";1;"Overnatningssted til campingvogne og telte."
3051;"Hytter og Lejrskoler";1;"Udlejningshytter med plads til mange. Typiske med sovesale og storkøkken."
3061;"Feriecenter";1;"En samling ferielejligheder, der danner rammen om familiens ophold på feriecenteret, samt en række fælles faciliteter, hvor der tilbydes en bred vifte af aktiviteter."
4011;"Idrætshal";1;"Kaldes også for sportshal. Stor hal hvor i der kan dyrkes en eller flere former for fysisk sport."
4021;"Svømmehal";1;"Opvarmet svømmebassin inde i en bygning."
4031;"Idrætsanlæg";1;"Bane hvor på der kan dyrkes en eller flere former for fysisk sport, f.eks. atletik, fodbold, baseball mm."
4041;"Cykelbane";1;"Område til fx MTB  og BMX."
4051;"Agilitybane";1;"Agilitybane er en hundesportsbane, hvor hundene skal tage en række forhindringer korrekt og i den rette rækkefølge."
4061;"Modelflyveplads";1;"”Lufthavn” for modelflyvere."
4071;"Skøjtebane";1;"Bane til skøjteløb om vinteren på søer eller kunstige isbaner i byer både indendørs og udendørs."
4081;"Minigolfbane";1;"Anlæg til at spille minigolf på, hvor banelængden normalt er under 10 m."
4091;"Golfbane";1;"En golfbane er et idrætsanlæg, hvorpå man spiller golf. Den består af et antal huller, oftest 18, men for mindre baners vedkommende 9, mens store baner kan have 27 eller 36 huller."
1012;"Toilet";1;"WC i bygning/muldtoilet, der er åbent for offentligheden."
1061;"Blå Flag strand";1;"Badeområde eller havne, der er tildelt Blå Flag."
1172;"Ladestation";1;"Ladestation til el-cykler."
1252;"Livredderpost";1;"Ubemandet redningspost der typisk indeholder: Vejlednig, 1 redningskrans, 1 sejldugstaske med 220 m nylon line, 2 redningsveste, 2 gjordbælter med karbinhage og evt. isstige og issyle."
3022;"Kano/kajak overnatningsplads";1;"Rasteplads til kano-/kajakfarer med mulighed for overnatning."
4101;"Discgolfanlæg";1;"Område med udpegede fairways og opstillede ”kurve” til spillet frisbee-golf/discgolf."
4111;"Boldbane";1;"Baner indrettet til boldspil."
4121;"Skydebaneanlæg";1;"En eller flere baner til skydning, fx kort- og langdistanceskydning."
4132;"Pentanquebane";1;"En eller flere baner til petanque."
4142;"Skateranlæg";1;"Anlæg, plads eller bane som rummer anlagte udfordringer til skatere, BMXcykler m.fl."
4152;"Parkouranlæg";1;"Plads/område med særlige faciliteter til at udøve parkour i."
4161;"Rideanlæg";1;"Placering for ridecenter eller –klub."
4172;"Beachvolleybane";1;"Udendørs areal afsat til spillet beachvolley."
4191;"Kitesurf område";1;"Område anvist til kitesurfing."
4201;"Windsurfområde";1;"Område anvist til windsurfing."
4211;"Kitebuggyområde";1;"Område anvist til kørsel med kitebuggy."
4231;"Flugtskydningsbane";1;"Lerdueskydningsbane."
4241;"Motorsportsbane";1;"Bane, hvor der udøves motorsport."
4251;"Ketchersportsanlæg";1;"Udendørs og/eller indendørs anlæg eller bane til ketchersport, herunder tennis og squash."
4262;"Rulleskøjtebane";1;"Udendørs eller indendørs anlæg indrettet til rulleskøjteløb."
4272;"Klatreanlæg";1;"Område med opsatte klatreudfordringer eller forhindringsbane f.eks. i træer, klatrevægge, wireforløb mm."
4281;"Cricketbane";1;"Bane til spillet Cricket"
4291;"Krolfbane";1;"Bane til spillet Krolf"
4301;"UV-jagtspot";1;"Område der er velegnet til undervands-jagt."
5011;"Forsamlingshus";1;"Et forsamlingshus er byens kulturhus og mødested."
5021;"Museum";1;"Museum er en permanent institution med udstilling og formidling af f.eks. kunst, kulturhistorie eller naturhistorie."
5031;"Teater";1;"Sted, hvor der opføres teater eller andre kulturelle opførelser. Herunder også amfiteater."
5041;"Forlystelsesanlæg";1;"En park med flere faste forlystelser, typisk for hele familien."
5051;"Biograf";1;"En biograf er et sted, sædvanligvis en bygning, hvor man fremviser film."
5061;"Foreningshus";1;"Hus der kan huse en række forskellige foreningers aktiviteter og administration."
5072;"Formidling af fortidsminder";1;"Særligt udvalgte fortidsminder til fokus."
