rute_ty_k;rute_ty;aktiv;begrebsdefinition
1;"Skirute";1;"Skiløberute på afmærkede og uafmærkede ruter i naturen."
2;"Løberute";1;"Løberute på afmærkede og uafmærkede ruter langs veje og i naturen."
3;"Cykelrute";1;"Rute for cykler, afmærket på kort og evt. i terræn."
4;"Mountainbikerute";1;"Afmærket eller uafmærket rute for mountainbikes."
5;"Vandrerute";1;"Rute velegnet til vandring."
6;"Motionsrute";1;"Rute udpeget til motionsformål – typisk løb eller gang."
7;"Undervandsrute";1;"Afmærket eller uafmærket rute under vand for snorkeldykkere/dykkere."
8;"Riderute";1;"Afmærket eller uafmærket rute til færdsel til hest."
98;"Andet";1;"Hvor andre facilitetsbetegnelser ikke er dækkende."
99;"Ukendt";1;"Mangler viden om typen."
10;"Gratis fiskeri";0;"Strækning med gratis fiskeri."
11;"Rekreativ sti";0;"Vandresti med fokus på det rekreative."
12;"Adgangsvej";0;"Sti eller spor med fri adgang, der fører hen til facilitet."
14;"Trec-bane";1;"Rideaktivitetsbane i naturen for heste og ryttere."
9;"Sejlrute";1;"Afmærket eller beskrevet rute for kano- og kajak-sejlads."
13;"Bilrute";1;"Skiltet rute forbi seværdigheder og smuk natur. Tiltænkt biler og motorcyklister. Kan også være velegnet for cyklister."
15;"Svømmerute";1;"Svømmerute."
